#Snapshot	Redshift	Age
0	46.77	0.054
1	44.56	0.058
2	42.45	0.062
3	40.64	0.066
4	38.71	0.071
5	36.87	0.076
6	35.12	0.082
7	33.61	0.087
8	32.01	0.094
9	30.48	0.1
10	29.03	0.108
11	27.64	0.116
12	26.44	0.123
13	25.17	0.132
14	23.96	0.142
15	22.81	0.153
16	21.81	0.163
17	20.76	0.175
18	19.75	0.188
19	18.79	0.201
20	17.96	0.215
21	17.09	0.231
22	16.25	0.248
23	15.45	0.266
24	14.76	0.283
25	14.03	0.304
26	13.34	0.327
27	12.67	0.351
28	12.04	0.376
29	11.5	0.401
30	10.92	0.431
31	10.37	0.463
32	10	0.486
33	9.84	0.497
34	9.39	0.529
35	9	0.56
36	8.91	0.568
37	8.45	0.61
38	8.01	0.655
39	7.6	0.703
40	7.24	0.75
41	7.01	0.782
42	6.86	0.805
43	6.49	0.864
44	6.14	0.927
45	6.01	0.954
46	5.85	0.989
47	5.53	1.061
48	5.23	1.139
49	5	1.205
50	4.94	1.223
51	4.66	1.312
52	4.43	1.399
54	4.01	1.577
56	3.71	1.728
57	3.49	1.855
58	3.28	1.99
59	3.08	2.134
60	3.01	2.195
61	2.9	2.289
62	2.73	2.438
63	2.58	2.596
64	2.44	2.745
65	2.32	2.902
66	2.21	3.047
67	2.1	3.198
68	2	3.356
69	1.9	3.522
70	1.82	3.669
71	1.74	3.823
72	1.67	3.983
73	1.6	4.12
74	1.53	4.291
75	1.47	4.438
76	1.41	4.59
77	1.36	4.747
78	1.3	4.908
79	1.25	5.074
80	1.21	5.21
81	1.15	5.384
82	1.11	5.527
83	1.07	5.674
84	1.04	5.824
85	1	5.977
86	0.99	6.015
87	0.95	6.172
88	0.92	6.292
89	0.89	6.455
90	0.85	6.622
91	0.82	6.791
92	0.79	6.921
93	0.76	7.096
94	0.73	7.23
95	0.7	7.411
96	0.68	7.55
97	0.64	7.737
98	0.62	7.88
99	0.6	8.024
100	0.58	8.171
101	0.55	8.369
102	0.52	8.52
103	0.5	8.672
104	0.48	8.827
105	0.46	8.983
106	0.44	9.141
107	0.42	9.301
108	0.4	9.463
109	0.38	9.626
110	0.36	9.791
111	0.35	9.902
112	0.33	10.07
113	0.31	10.24
114	0.29	10.411
115	0.27	10.585
116	0.26	10.701
117	0.24	10.876
118	0.23	11.054
119	0.21	11.173
120	0.2	11.353
121	0.18	11.534
122	0.17	11.656
123	0.15	11.839
124	0.14	11.963
125	0.13	12.149
126	0.11	12.336
127	0.1	12.462
128	0.08	12.652
129	0.07	12.779
130	0.06	12.971
131	0.05	13.1
132	0.03	13.294
133	0.02	13.424
134	0.01	13.62
135	0	13.752
